"Słownictwo - busuu 3"
"Ona ma kota, który nazywa się Birba.", "Lei ha un gatto che si chiama Birba."
"Widzisz tę wysoką dziewczynę z długimi włosami?", "Vedi quella ragazza alta con i capelli lunghi?"
"Rybę można przyrządzić w piekarniku.", "Puoi cucinare il pesce nel forno."
"Co wieczór czytam gazetę.", "Ogni sera leggo il giornale"
"Nie jestem bardzo głodna", "Non ho molta fame. "
"Musisz iść do bankomatu.", "Devi andare al bancomat. "
"Nie możemy spać na tym łóżku", "Non possiamo dormire su questo letto."
"Nasz dom jest duży.", "La nostra casa è grande."
"Ty gotujesz, a ona słucha muzyki.", "Tu cucini e lei ascolta la musica. "
"Moi rodzice oglądają telewizję w pokoju gościnnym.", "I miei genitori guardano la televisione in salotto."
"Ja mieszkam w Turynie, a ona mieszka w Rzymie.", "Io vivo a Torino e lei vive a Roma."
"Ty i twój brat zawsze do późna śpicie.", "Tu e tuo fratello dormite sempre fino a tardi."
"Ty sprzątasz kuchnię, a my sprzątamy salon.", "Tu pulisci la cucina e noi puliamo il salotto."
"Mój brat sprząta swój pokój co tydzień.", "Mio fratello pulisce la sua stanza ogni settimana. "
"Kiedy pada deszcz, wolisz pójść na spacer czy przeczytać książkę?", "Quando piove, preferisci andare a fare una passeggiata o leggere un libro?"
"Moja siostra uwielbia gotować, ja też.", "Mia sorella ama cucinare e anch'io"
"W weekendy zawsze ucinamy sobie drzemkę", "Il fine settimana facciamo sempre un pisolino"
"Budzę się o 7:00", "Mi sveglio alle 7:00."
"Ona się ubiera.", "Lei si veste."
"Oni się myją. ", "Loro si fanno la doccia."
"Wieczorem wracam do domu i oglądam TV z moim mężem.", "La sera ritorno a casa e guardo la TV con mio marito."
