"Słownictwo - busuu 4"
"W tę niedzielę chcę iść do kina.", "Voglio andare al cinema questa domenica."
"Czy chcesz iść ze mną do teatru?", "Vuoi venire con me a teatro?"
"Ja chcę wyjechać dzisiaj, a on chce wyjechać jutro", "Io voglio partire oggi ma lui vuole partire domani"
"Chłopiec chce zjeść lody.", "Il bambino vuole mangiare un gelato."
"Co tydzień wychodzę na kolację z moimi przyjaciółmi.", "Vado a cena con i miei amici ogni settimana."
"Prawie nigdy nie chodzimy na dyskoteki", "Non andiamo quasi mai in discoteca."
"Zazwyczaj kolację jemy o 20:00.", "Di solito ceniamo alle 8 di sera"
"W sobotnie poranki uprawiamy sport", "Noi il sabato mattina facciamo sport."
"W weekendy lubimy spacerować po parku.", "Il fine settimana ci piace fare una passeggiata nel parco."
"Czy często spotykasz się z przyjaciółmi?", "Ti incontri spesso con gli amici?"
"Marco i Giulia wychodzą dzisiaj wieczorem.", "Marco e Giulia escono stasera"
"Co zamawiasz?", "Tu cosa prendi?"
"Co pan / pani zamawia?", "Lei cosa prende?"
"On zamówi makaron, a ona zamówi rybę.", "Lui prende la pasta e lei prende il pesce"
"Czuję się dobrze!", "Sto bene!"
"Jednak jest szczęśliwy, bo nie musi chodzić do szkoły!", "Lui però é felice perché non deve andare a scuola!"
"Gianni kończy pracować późno.", "Gianni finisce di lavorare tardi."
"Eva kończy uprawiać jogę o 20:00.", "Eva finisce di fare yoga alle 8:00. "
"Ta książka jest krótka. Tamta jest długa.", "Questo libro è corto. Quello è lungo"
"Te okulary są moje", "Questi occhiali sono miei."
