"Liczby"
"4","quattro"
"5","cinque"
"6","sei"
"7","sette"
"8","otto"
"9","nove"
"10","dieci"
"11","undici"
"12","dodici"
"13","tredici"
"14","quattordici"
"15","quindici"
"16","sedici"
"17","diciassette"
"18","diciotto"
"19","diciannove"
"20","venti"
"21","ventuno"
"24","ventiquattro"
"26","ventisei"
"29","ventinove"
"30","trenta"
"32","trentadue"
"33","trentatre"
"37","trentasette"
"38","trentotto"
"40","quaranta"
"59","cinquantanove"
"63","sessantatre"
"64","sessantaquattro"
"66","sessantasei"
"74","settantaquattro"
"75","settantacinque"
"70","settanta"
"82","ottantadue"
"86","ottantasei"
"90","novanta"
"93","novantatre"
"98","novantotto"
"100","cento"
